timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_13_density,genotype_14_density,genotype_16_density,genotype_15_density,genotype_12_density
109,288,100,0.0,0.07291666666666667,0.9618055555555556,0.9411764705882353,14.424689145180414,13,0.9583333333333334,,,,0.003472222222222222,0.003472222222222222,,0.003472222222222222,0.003472222222222222,,,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.003472222222222222,
110,253,100,0.0,0.08300395256916997,0.9604743083003953,0.9411764705882353,13.949813123602178,12,0.9565217391304348,,,,0.003952569169960474,0.003952569169960474,,0.003952569169960474,0.003952569169960474,,,,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474,0.003952569169960474
111,241,100,0.0,0.08713692946058091,0.9585062240663901,0.9411764705882353,13.467410280925357,12,0.9543568464730291,,,,0.004149377593360996,0.004149377593360996,,0.004149377593360996,0.004149377593360996,,,,0.004149377593360996,0.004149377593360996,0.004149377593360996,0.004149377593360996,0.004149377593360996
112,229,100,0.0,0.09170305676855896,0.9606986899563319,0.9411764705882353,13.174000193371633,12,0.9519650655021834,,,,0.004366812227074236,0.004366812227074236,,0.004366812227074236,0.004366812227074236,,,,0.004366812227074236,0.004366812227074236,0.004366812227074236,0.004366812227074236,0.004366812227074236
113,222,100,0.0,0.0945945945945946,0.9594594594594594,0.9411764705882353,12.689889063541935,12,0.9504504504504504,,,,0.0045045045045045045,0.0045045045045045045,,0.0045045045045045045,0.0045045045045045045,,,,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045
114,216,100,0.0,0.09722222222222222,0.9583333333333334,0.9411764705882353,12.21264949363189,12,0.9490740740740741,,,,0.004629629629629629,0.004629629629629629,,0.004629629629629629,0.004629629629629629,,,,0.004629629629629629,0.004629629629629629,0.004629629629629629,0.004629629629629629,0.004629629629629629
115,207,100,0.0,0.10144927536231885,0.961352657004831,0.9411764705882353,11.942038703643645,11,0.9516908212560387,,,,0.004830917874396135,,,0.004830917874396135,0.004830917874396135,0.004830917874396135,,,0.004830917874396135,0.004830917874396135,0.004830917874396135,0.004830917874396135,0.004830917874396135
116,195,100,0.0,0.1076923076923077,0.9641025641025641,0.9411764705882353,12.000644601907233,10,0.9538461538461539,,,0.005128205128205128,0.005128205128205128,,,0.005128205128205128,0.005128205128205128,0.005128205128205128,,,,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128
117,190,100,0.0,0.11052631578947368,0.9631578947368421,0.9411764705882353,11.780266129401097,10,0.9526315789473684,,,0.005263157894736842,0.005263157894736842,,,0.005263157894736842,0.005263157894736842,0.005263157894736842,,,,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842
118,186,100,0.0,0.11290322580645161,0.9623655913978495,0.9411764705882353,11.594696317416902,10,0.9516129032258065,,,0.005376344086021506,0.005376344086021506,,,0.005376344086021506,0.005376344086021506,0.005376344086021506,,,,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.005376344086021506
119,180,100,0.0,0.11666666666666667,0.9777777777777777,0.9411764705882353,11.55414191633492,7,0.9666666666666667,,,,0.005555555555555556,,,,0.005555555555555556,,,,,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556
120,178,100,0.0,0.11797752808988764,0.9775280898876404,0.9411764705882353,11.321904772693498,7,0.9662921348314607,,,,0.0056179775280898875,,,,0.0056179775280898875,,,,,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875
121,173,100,0.0,0.12138728323699421,0.976878612716763,0.9411764705882353,11.322170837133102,7,0.9653179190751445,,,,0.005780346820809248,,,,0.005780346820809248,,,,,0.005780346820809248,0.005780346820809248,0.005780346820809248,0.005780346820809248
122,170,100,0.0,0.12352941176470589,0.9764705882352941,0.9411764705882353,11.306215738291861,7,0.9647058823529412,,,,0.0058823529411764705,,,,0.0058823529411764705,,,,,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705
123,163,100,0.0,0.12883435582822086,0.9877300613496932,0.9411764705882353,11.611129668439707,5,0.9754601226993865,,,,,,,,0.006134969325153374,,,,,0.006134969325153374,0.006134969325153374,0.006134969325153374,
124,161,100,0.0,0.13043478260869565,0.9875776397515528,0.9411764705882353,11.641353610773173,5,0.9751552795031055,,,,,,,,0.006211180124223602,,,,,0.006211180124223602,0.006211180124223602,0.006211180124223602,
125,159,100,0.0,0.1320754716981132,0.9874213836477987,0.9411764705882353,11.653372211759923,5,0.9748427672955975,,,,,,,,0.006289308176100629,,,,,0.006289308176100629,0.006289308176100629,0.006289308176100629,
126,158,100,0.0,0.13291139240506328,0.9873417721518988,0.9411764705882353,11.617428324420944,5,0.9746835443037974,,,,,,,,0.006329113924050633,,,,,0.006329113924050633,0.006329113924050633,0.006329113924050633,
